"","(Intercept)","monthAugust","monthDecember","monthFebruary","monthJanuary","monthJuly","monthJune","monthMarch","monthMay","monthNovember","monthOctober","monthSeptember","provBritish Columbia","provManitoba","provNew Brunswick","provNewfoundland and Labrador","provNorthwest Territories","provNova Scotia","provNunavut","provOntario","provPrince Edward Island","provQuebec","provSaskatchewan","provYukon","retail"
"boot_params.3644",4.53485936211187,-0.720543953714662,-0.690594583502233,0.00971614644143053,-0.33455166443147,-0.576909854299984,-0.333722581739703,-0.113669993675111,-0.0268653688436684,-0.0879384358860774,0.0459900731121655,0.0721463223181315,0.82738162405727,-1.6004092261939,-2.28721345476086,-2.67360979039332,-4.93935886252803,-2.03949888792144,-4.53915965388753,4.81908878962679,-3.71983647378031,1.92843227125264,-2.2175400921081,-3.72239860494297,-2.10565138754673e-07
"boot_params.3645",3.72086433119044,-0.717949041663023,-0.642542903885148,0.0510830706161456,-0.348295971548776,-0.549354196897899,-0.382189668190427,-0.105284321806372,-0.0434506757798005,-0.112638829560574,0.00958865999615258,0.0710952498805365,0.707126273236925,-0.973762511359986,-1.59340970043837,-1.94825049329918,-4.10921748982194,-1.39491055974796,-3.74399609231101,3.10372701537047,-2.89334161523198,1.25012194953788,-1.62955802608904,-2.86760142348578,-1.08565375186225e-07
"boot_params.3646",3.78457937249789,-0.713586785878769,-0.642305203959053,0.0402199325320306,-0.315953381499524,-0.56133814676654,-0.372793514963453,-0.0824064001590721,-0.044922123115676,-0.10449726658989,0.0270720615180323,0.0946970595373399,0.709488900444826,-1.03827578828274,-1.64388505013027,-2.02214850775394,-4.17815117732106,-1.46925193510237,-3.81270653947001,3.25546135347965,-2.97681233104034,1.29325537338674,-1.68391708064023,-2.96576071512502,-1.1646322391574e-07
"boot_params.3647",2.49524781521351,-0.723939812822325,-0.638567730055933,0.0638040075459481,-0.31147231632278,-0.566171590388347,-0.398258943267521,-0.0856175328310816,-0.0562926701922341,-0.112546257461976,-0.00780927281139443,0.0760357960902235,0.610766065039973,-0.086082962541832,-0.555543273116105,-0.857891536581264,-2.90072692380824,-0.437977986425532,-2.51414781680845,0.70620900156376,-1.71255094444375,0.360076025987592,-0.721869148999805,-1.67520411398453,3.84319460693328e-08
"boot_params.3648",2.57322449027896,-0.71963039187471,-0.633929296206614,0.0691651400375477,-0.310774933354564,-0.567580487778095,-0.394774651449406,-0.0766077627196014,-0.0514549368925014,-0.111467152469319,0.000177776493817718,0.0793491870974185,0.615217430737376,-0.151579459605536,-0.622635580067273,-0.927681712440175,-2.97417658027092,-0.503698989317041,-2.59111964796821,0.867563463324439,-1.78982834840701,0.41620155227625,-0.782638909315495,-1.75305516179062,2.88725267892074e-08
"boot_params.3649",2.98177590548737,-0.714021783846538,-0.628311627134579,0.0645666706404407,-0.31374141045197,-0.559419524144444,-0.382339169442192,-0.0831795581246786,-0.0421561940157295,-0.0993024915209231,0.00885837347893636,0.0873727872563691,0.654584085707798,-0.452479456735324,-0.966651064642626,-1.29492655522752,-3.38681570526169,-0.829418339758283,-3.00176384905062,1.68590656805484,-2.18673189155422,0.728701069402775,-1.09302070835494,-2.16391999061179,-2.11060253524983e-08
"boot_params.3650",3.15961888355945,-0.712601775860026,-0.645824500810771,0.0670414125698329,-0.313303306453261,-0.569395460421552,-0.386090590438961,-0.0842990833768288,-0.055241552810838,-0.110923987337184,0.00924891515760441,0.0746546182694709,0.665045846808236,-0.581165789729091,-1.11866918286,-1.44527025265035,-3.54889821199129,-0.967969648818085,-3.17746032779393,2.03136631437025,-2.34821122887774,0.859145001011176,-1.21475841500972,-2.33402676357011,-4.20962132322358e-08
"boot_params.3651",2.95319275126377,-0.71569523323161,-0.632190980216271,0.0652121318088485,-0.314182953969869,-0.56567427460469,-0.387694861832547,-0.0868682334981467,-0.0533056246395809,-0.105003106543151,0.00520487874715439,0.0816924211694691,0.65223224366128,-0.432227776305249,-0.939193666624098,-1.26786225517954,-3.35292635326174,-0.803113441936583,-2.9698385324864,1.61754195595491,-2.15591857704129,0.699625633835468,-1.06669392326087,-2.12990079291063,-1.70374124768667e-08
"boot_params.3652",4.07140559094071,-0.6882305691696,-0.579149714140645,0.0718909401036928,-0.288257037266826,-0.519096437589856,-0.306921672608645,-0.0656431927910273,0.00128574424874073,-0.0639761677316075,0.0405172508227581,0.0904973662566265,0.723697879149173,-1.27512535678623,-1.90466671694243,-2.2700837105328,-4.49041596823765,-1.69754427644577,-4.10352026324,3.89413358120128,-3.28036261247703,1.56183311129316,-1.91270765076597,-3.28092499068315,-1.5594968407537e-07
"boot_params.3653",3.18565781635111,-0.71769633624954,-0.643287622816385,0.0626121625140088,-0.325899019208342,-0.571954526934187,-0.386914855796015,-0.0931070719117458,-0.0585786378121426,-0.10288652803572,0.0114568119898451,0.0779112656163558,0.660161238047387,-0.601109648632226,-1.12881877786814,-1.47375714987978,-3.57417514672768,-0.985676848444115,-3.19982926080101,2.04535425958656,-2.37682969172744,0.855279302875644,-1.24050318114284,-2.35944558934578,-4.36163677576793e-08
"boot_params.3654",3.86047009795972,-0.726579723657669,-0.615346887917233,0.0413896743055789,-0.305100101953419,-0.572735644437283,-0.382899532333027,-0.102221702082179,-0.0620407701152768,-0.116180502326715,0.00162055576015782,0.0658932071325439,0.71983700444912,-1.08988081720918,-1.67403722754657,-2.04015671366898,-4.23502271420879,-1.52243275189895,-3.86556849737506,3.35190276651937,-3.03484710315597,1.34513341405188,-1.72673391125737,-3.02942604008792,-1.24693075919741e-07
"boot_params.3655",3.71644933549458,-0.719281790109203,-0.622094064027206,0.0469558503467378,-0.332094032860052,-0.577117340893913,-0.374520963289178,-0.102733021979409,-0.0358173341825833,-0.104877816923989,0.016330492581346,0.0804689683195138,0.72046038206082,-0.990593088023807,-1.57300563009931,-1.96287603995716,-4.10016160098679,-1.39477863999363,-3.72430944020332,3.16529608135118,-2.88268373562376,1.28317794162747,-1.64030094727088,-2.86568660233298,-1.10219071408199e-07
"boot_params.3656",3.12525594597262,-0.724662556755006,-0.645890658697865,0.0591522682897176,-0.320174289704976,-0.570094236827401,-0.392813258068806,-0.0980353960272471,-0.0548554703441148,-0.114947066365775,-0.00500620428439117,0.0675673276540718,0.662777687752767,-0.546677815130844,-1.07672059539612,-1.41218971614312,-3.51615785304699,-0.929134304710706,-3.1295064318468,1.94603554124383,-2.31768947386287,0.823015102324978,-1.18660403091395,-2.29794708283232,-3.70034387706724e-08
"boot_params.3657",3.21301071045928,-0.717335988672239,-0.621290067446448,0.0660780575770191,-0.304360813883001,-0.563245120999717,-0.376373815107667,-0.0781949515560064,-0.0370977842375389,-0.0937112980066106,0.0172390350907661,0.0956043392261543,0.674819518336557,-0.624477889684533,-1.15912652612006,-1.50050464113695,-3.61534382689482,-1.00819941559485,-3.2352463966121,2.16746823661699,-2.41785897734743,0.913017810128908,-1.25592273506966,-2.39383840842935,-5.00308907125135e-08
"boot_params.3658",2.293272542544,-0.724119143862563,-0.628736856185059,0.072092298289903,-0.300755541213828,-0.577738658868306,-0.397111620339655,-0.0802534322629529,-0.0554068764867873,-0.104715226213373,0.00024948588948875,0.0836063949089466,0.597357305171536,0.0527610863149006,-0.391888738701303,-0.681733752944154,-2.69880384602146,-0.286957034674356,-2.32281801460615,0.30129041522337,-1.52395665713957,0.207599985689269,-0.577817819702629,-1.47963009742744,6.29308773022976e-08
"boot_params.3659",1.85978421283875,-0.758833115490388,-0.694715020393171,0.0546323628658337,-0.348111571069732,-0.625128959758032,-0.426363517205818,-0.109798876645994,-0.0789723997293717,-0.161883788925892,-0.0600694670346912,0.0425172398120871,0.584145387743406,0.386993172275029,-0.00720063167732761,-0.254428231727101,-2.21550959869185,0.0998623347572805,-1.84489798828314,-0.574411004143156,-1.05397333308532,-0.124570843523072,-0.222896424894876,-1.01122077801053,1.17686960910541e-07
"boot_params.3660",3.61838058805227,-0.675965600368406,-0.65724564874987,0.0563693227200237,-0.311892235950726,-0.542893793649426,-0.367367524344481,-0.0911341992837972,-0.0490933910784268,-0.0955073679541701,0.0231576556640996,0.103370686374235,0.715138239344416,-0.91276741179287,-1.50833763450669,-1.86987995683652,-4.02684616144748,-1.32672761268917,-3.64112352786278,2.95747136363376,-2.80511019449741,1.21197195742333,-1.57307549880977,-2.79310083340656,-9.85677390019817e-08
