"","(Intercept)","seasonSpring","seasonSummer","seasonWinter","provBritish Columbia","provManitoba","provNew Brunswick","provNewfoundland and Labrador","provNorthwest Territories","provNova Scotia","provNunavut","provOntario","provPrince Edward Island","provQuebec","provSaskatchewan","provYukon","retail"
"boot_params.8022",3.56764216355516,-0.0628721051173229,-0.555242957723176,-0.240605754738521,0.826519110074035,-1.69691331237876,-2.48996385007839,-2.89136922146824,-4.97436172539565,-2.27613136188979,-4.67228725774226,5.24220187264611,-4.02509337747019,2.08902770589569,-2.42399005933116,-3.79225425815029,-1.68115592108754
"boot_params.8023",3.75335488262438,-0.0618010963669067,-0.541561815110342,-0.252126544462868,0.829446798740775,-2.07492436450875,-2.75772124399128,-3.41063362726712,-5.21232400851088,-2.63372173978432,-4.82258053518272,5.97156621037144,-4.55922823113895,2.34673421285541,-2.73323693013767,-4.21705781079146,-2.01429517876566
"boot_params.8024",3.74689707847749,-0.075164101865674,-0.570481486018329,-0.282209524562978,0.841914156690149,-2.04999188293388,-2.77083166591205,-3.23025448170846,-5.42531516520592,-2.56408129676606,-5.47992161480065,5.92259154829942,-4.32557429147355,2.33130429407575,-2.73093469875629,-4.5009639180197,-1.98978032314109
"boot_params.8025",3.59392105821897,-0.0455463784259038,-0.548435727850707,-0.223540702813927,0.78855568152385,-1.73235870982651,-2.50292290902726,-2.89782848320626,-4.86589333462065,-2.26765854816091,-4.73312426364947,5.18889794062871,-3.81837748094646,2.02563353153792,-2.41099414038262,-4.31338671201417,-1.67624835622694
"boot_params.8026",3.61555517416823,-0.0578921794546089,-0.571776870829686,-0.232428476253364,0.797621914853499,-1.81690249974344,-2.48346599497264,-2.97125847660985,-4.93786515067978,-2.28697846300268,-5.26244652720134,5.2506720607981,-3.99908016605543,2.05488187511113,-2.53018137487022,-4.01377051902379,-1.70405313637475
"boot_params.8027",3.6375258016115,-0.0671265986619466,-0.535647849456818,-0.23833169739689,0.828721248170605,-1.89047231993272,-2.58380212484652,-3.03683925010657,-5.51504036732802,-2.36075991114596,-5.16989807412447,5.5578265483897,-4.20990880980693,2.19762353828073,-2.57710671548281,-4.14830665958011,-1.82371026692601
"boot_params.8028",3.68575461422009,-0.077501259797779,-0.57576017812744,-0.264207836364725,0.823332798166768,-1.92721607337083,-2.58028083482991,-3.06350946291905,-5.47687930289092,-2.48544265592809,-5.28243912719756,5.5914481949536,-4.2251294037097,2.17956924199339,-2.62745128597413,-4.18721323092649,-1.84755819082708
"boot_params.8029",3.73481441032336,-0.060402778652749,-0.556054996015547,-0.253447393291162,0.84246076062556,-2.05060552017806,-2.7196860610579,-3.23934797190886,-5.51886007954891,-2.60247692660658,-5.50070454247388,5.97368010346777,-4.28341670825988,2.34324909682783,-2.71780059202354,-4.26989720709409,-2.00826759446555
"boot_params.8030",3.51552650809793,-0.0604066181686254,-0.555821568107135,-0.238756517332334,0.814119808173745,-1.65135672905757,-2.38529453217486,-2.75188274998173,-4.79180737539924,-2.08692777781638,-4.51805768676829,4.93649871452693,-3.92605817848251,1.9599660041141,-2.28951679934767,-3.8466929146531,-1.55543044843069
"boot_params.8031",3.75247776326588,-0.0738107040024757,-0.557038679297017,-0.217397373736654,0.830818920370642,-2.0691077171775,-2.80550628128688,-3.26178458073585,-5.758218084113,-2.60976964745343,-5.38612709563842,5.9735197712587,-4.57893642560687,2.31914038995081,-2.7212599620588,-4.2500016901509,-2.01299635095824
"boot_params.8032",3.58495940094191,-0.0571322796302167,-0.53871359840153,-0.227599679028038,0.785955523607301,-1.72125368679555,-2.406975595855,-2.95217727689925,-4.9909770824958,-2.29311237378423,-4.68546315005229,5.14070133531463,-4.05875587067398,1.99864360976291,-2.37455828607609,-4.03112747878768,-1.65197212883265
"boot_params.8033",3.54667455171202,-0.0603939036987911,-0.546796923548459,-0.228298391703785,0.816847756319996,-1.66369889776783,-2.35723271565984,-2.95517886523312,-5.18788360891605,-2.180135762104,-4.71765894315292,5.05867769608666,-3.93979310118928,1.99128109459763,-2.38458462885908,-4.08825321702055,-1.60882178991038
"boot_params.8034",3.71543939079663,-0.081018036669864,-0.553982031685777,-0.250371378990635,0.815648076274008,-1.96897908235612,-2.71259316425016,-3.17492953365955,-5.01525641237137,-2.48486270390515,-5.17136422737531,5.67556511774094,-4.26666829101703,2.221797203434,-2.61827004091022,-4.45718529561282,-1.89292197454585
