"","GEO","retail","year","month"
"584","Saskatchewan",1788428,"2020","September"
"585","Yukon",80451,"2020","September"
"586","Alberta",7393295,"2020","October"
"587","British Columbia",8401041,"2020","October"
"588","Manitoba",1952929,"2020","October"
"589","New Brunswick",1191818,"2020","October"
"590","Newfoundland and Labrador",821404,"2020","October"
"591","Northwest Territories",77240,"2020","October"
"592","Nova Scotia",1494673,"2020","October"
"593","Nunavut",46755,"2020","October"
"594","Ontario",22329049,"2020","October"
"595","Prince Edward Island",235761,"2020","October"
"596","Quebec",12638054,"2020","October"
"597","Saskatchewan",1776035,"2020","October"
"598","Yukon",84676,"2020","October"
"599","Alberta",7476623,"2020","November"
"600","British Columbia",8450358,"2020","November"
"601","Manitoba",1824569,"2020","November"
"602","New Brunswick",1208848,"2020","November"
"603","Newfoundland and Labrador",862313,"2020","November"
"604","Northwest Territories",80479,"2020","November"
"605","Nova Scotia",1521433,"2020","November"
"606","Nunavut",46982,"2020","November"
"607","Ontario",22118722,"2020","November"
"608","Prince Edward Island",243932,"2020","November"
"609","Quebec",12942128,"2020","November"
"610","Saskatchewan",1774420,"2020","November"
"611","Yukon",85732,"2020","November"
"612","Alberta",7433410,"2020","December"
"613","British Columbia",8524584,"2020","December"
"614","Manitoba",1715339,"2020","December"
"615","New Brunswick",1163564,"2020","December"
"616","Newfoundland and Labrador",779813,"2020","December"
"617","Northwest Territories",80499,"2020","December"
"618","Nova Scotia",1458343,"2020","December"
"619","Nunavut",50839,"2020","December"
"620","Ontario",21125041,"2020","December"
"621","Prince Edward Island",233292,"2020","December"
"622","Quebec",12122076,"2020","December"
"623","Saskatchewan",1806718,"2020","December"
"624","Yukon",84402,"2020","December"
"625","Alberta",7523283,"2021","January"
"626","British Columbia",8719832,"2021","January"
"627","Manitoba",1945244,"2021","January"
"628","New Brunswick",1242896,"2021","January"
"629","Newfoundland and Labrador",862577,"2021","January"
"630","Northwest Territories",80023,"2021","January"
"631","Nova Scotia",1565980,"2021","January"
"632","Nunavut",47617,"2021","January"
"633","Ontario",20315532,"2021","January"
"634","Prince Edward Island",249378,"2021","January"
"635","Quebec",10872351,"2021","January"
"636","Saskatchewan",1846647,"2021","January"
"637","Yukon",83433,"2021","January"
"638","Alberta",7599828,"2021","February"
"639","British Columbia",8701420,"2021","February"
"640","Manitoba",2076739,"2021","February"
"641","New Brunswick",1239230,"2021","February"
"642","Newfoundland and Labrador",817851,"2021","February"
"643","Northwest Territories",77909,"2021","February"
"644","Nova Scotia",1588030,"2021","February"
"645","Nunavut",47005,"2021","February"
"646","Ontario",21557586,"2021","February"
"647","Prince Edward Island",265301,"2021","February"
"648","Quebec",13001530,"2021","February"
"649","Saskatchewan",1848061,"2021","February"
"650","Yukon",84665,"2021","February"
"651","Alberta",7513659,"2021","March"
"652","British Columbia",8720633,"2021","March"
"653","Manitoba",2127715,"2021","March"
"654","New Brunswick",1260500,"2021","March"
"655","Newfoundland and Labrador",863908,"2021","March"
"656","Northwest Territories",82525,"2021","March"
"657","Nova Scotia",1613514,"2021","March"
"658","Nunavut",46753,"2021","March"
"659","Ontario",23304023,"2021","March"
"660","Prince Edward Island",257417,"2021","March"
"661","Quebec",13770821,"2021","March"
"662","Saskatchewan",1892493,"2021","March"
"663","Yukon",83979,"2021","March"
"664","Alberta",7626109,"2021","April"
"665","British Columbia",8795086,"2021","April"
"666","Manitoba",1965877,"2021","April"
"667","New Brunswick",1321915,"2021","April"
"668","Newfoundland and Labrador",900549,"2021","April"
"669","Northwest Territories",81628,"2021","April"
"670","Nova Scotia",1603444,"2021","April"
"671","Nunavut",46843,"2021","April"
"672","Ontario",20299921,"2021","April"
"673","Prince Edward Island",268628,"2021","April"
"674","Quebec",13497115,"2021","April"
"675","Saskatchewan",1915196,"2021","April"
"676","Yukon",84623,"2021","April"
"677","Alberta",7496484,"2021","May"
"678","British Columbia",8783883,"2021","May"
