"REF_DATE","GEO","DGUID","Supply and disposition","Products","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-01","Ontario","2016A000235","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228151","7.4.17.1","142650","","","","0"
"2023-02","Ontario","2016A000235","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228151","7.4.17.1","87348","","","","0"
"2023-03","Ontario","2016A000235","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228151","7.4.17.1","127401","","","","0"
"2023-04","Ontario","2016A000235","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228151","7.4.17.1","289340","","","","0"
"2023-05","Ontario","2016A000235","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228151","7.4.17.1","233467","","","","0"
"2023-06","Ontario","2016A000235","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228151","7.4.17.1","138530","","","","0"
"2023-07","Ontario","2016A000235","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228151","7.4.17.1","128416","","","","0"
"2023-08","Ontario","2016A000235","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228151","7.4.17.1","128524","","","","0"
"2023-09","Ontario","2016A000235","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228151","7.4.17.1","149100","","","","0"
"2023-10","Ontario","2016A000235","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228151","7.4.17.1","110879","","","","0"
"2023-11","Ontario","2016A000235","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228151","7.4.17.1","106134","","","","0"
"2022-01","Manitoba","2016A000246","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228271","8.4.17.1","2893","","","","0"
"2022-02","Manitoba","2016A000246","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228271","8.4.17.1","3877","","","","0"
"2022-03","Manitoba","2016A000246","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228271","8.4.17.1","6882","","","","0"
"2022-04","Manitoba","2016A000246","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228271","8.4.17.1","6290","","","","0"
"2022-05","Manitoba","2016A000246","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228271","8.4.17.1","3918","","","","0"
"2022-06","Manitoba","2016A000246","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228271","8.4.17.1","5621","","","","0"
"2022-07","Manitoba","2016A000246","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228271","8.4.17.1","4382","","","","0"
"2022-08","Manitoba","2016A000246","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228271","8.4.17.1","4489","","","","0"
"2022-09","Manitoba","2016A000246","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228271","8.4.17.1","5180","","","","0"
"2022-10","Manitoba","2016A000246","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228271","8.4.17.1","6322","","","","0"
"2022-11","Manitoba","2016A000246","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228271","8.4.17.1","4505","","","","0"
"2022-12","Manitoba","2016A000246","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228271","8.4.17.1","3608","","","","0"
"2023-01","Manitoba","2016A000246","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228271","8.4.17.1","5350","","","","0"
"2023-02","Manitoba","2016A000246","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228271","8.4.17.1","4742","","","","0"
"2023-03","Manitoba","2016A000246","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228271","8.4.17.1","6357","","","","0"
"2023-04","Manitoba","2016A000246","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228271","8.4.17.1","5827","","","","0"
"2023-05","Manitoba","2016A000246","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228271","8.4.17.1","3834","","","","0"
