"REF_DATE","GEO","DGUID","Supply and disposition","Products","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-04","Manitoba","2016A000246","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228320","8.9.17.1","16356","","","","0"
"2022-05","Manitoba","2016A000246","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228320","8.9.17.1","9528","","","","0"
"2022-06","Manitoba","2016A000246","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228320","8.9.17.1","29115","","","","0"
"2022-07","Manitoba","2016A000246","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228320","8.9.17.1","28168","","","","0"
"2022-08","Manitoba","2016A000246","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228320","8.9.17.1","27068","","","","0"
"2022-09","Manitoba","2016A000246","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228320","8.9.17.1","35250","","","","0"
"2022-10","Manitoba","2016A000246","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228320","8.9.17.1","34946","","","","0"
"2022-11","Manitoba","2016A000246","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228320","8.9.17.1","27320","","","","0"
"2022-12","Manitoba","2016A000246","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228320","8.9.17.1","27538","","","","0"
"2023-01","Manitoba","2016A000246","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228320","8.9.17.1","29578","","","","0"
"2023-02","Manitoba","2016A000246","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228320","8.9.17.1","29568","","","","0"
"2023-03","Manitoba","2016A000246","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228320","8.9.17.1","31587","","","","0"
"2023-04","Manitoba","2016A000246","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228320","8.9.17.1","24465","","","","0"
"2023-05","Manitoba","2016A000246","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228320","8.9.17.1","35431","","","","0"
"2023-06","Manitoba","2016A000246","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228320","8.9.17.1","33919","","","","0"
"2023-07","Manitoba","2016A000246","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228320","8.9.17.1","25711","","","","0"
"2023-08","Manitoba","2016A000246","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228320","8.9.17.1","29102","","","","0"
"2023-09","Manitoba","2016A000246","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228320","8.9.17.1","21144","","","","0"
"2023-10","Manitoba","2016A000246","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228320","8.9.17.1","27772","","","","0"
"2023-11","Manitoba","2016A000246","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228320","8.9.17.1","22160","","","","0"
"2022-01","Saskatchewan","2016A000247","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228441","9.9.17.1","47021","","","","0"
"2022-02","Saskatchewan","2016A000247","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228441","9.9.17.1","35173","","","","0"
"2022-03","Saskatchewan","2016A000247","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228441","9.9.17.1","33140","","","","0"
"2022-04","Saskatchewan","2016A000247","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228441","9.9.17.1","43990","","","","0"
"2022-05","Saskatchewan","2016A000247","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228441","9.9.17.1","41681","","","","0"
"2022-06","Saskatchewan","2016A000247","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228441","9.9.17.1","42078","","","","0"
"2022-07","Saskatchewan","2016A000247","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228441","9.9.17.1","44265","","","","0"
"2022-08","Saskatchewan","2016A000247","Exports, disposition","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228441","9.9.17.1","47975","","","","0"
